id,judul,klik_tawaran,klik_kita,userId
3997821877116373, daging kambing  ,3,0,61553632484587
319624261103505,FREE ONGKIR Toples Plastik,3,0,61555839967572
940144394398268,TERMURAH Toples Tabung Plastik,3,0,61556287377999
1361051944613398,TERMURAH Racun Tikus,3,0,61556062618754
1793464594428475, daging kambing Murah ,3,0,61553166374891
2216232905435563,PUZLE MAINAN ANAK PUZZLE,3,0,61558831592910
2161141037551984,GROSIR Toples Plastik,3,0,61556145452251
859553852618513,HALAL,3,1,61554224956940
3528808307448250,MASIH SEGAR,3,1,61554090293931
1476879856512988,TERMURAH Kurma Tunisia non tangkai,3,1,61553646584248
956413006006444,Importir Kurma Sukari Premium,3,1,61553646584248
1572014696888584,Pusat Kurma Muda ruthob Premium,3,1,61556435871668
2677803039062221,TERBAIK Kurma,3,1,61555756691442
648247844056496,TERBAGUS Kurma Sukari Premium,3,1,61556162711384
785062843495924,TIDAK LEBUS,3,1,61556142198689
346754891683873,Toko Kurma,3,1,61555916283950
884955540099942,TERPERCAYA,3,1,61553426313935
7369618326394169,Toko Kurma Sukari Premium,3,1,61555771551819
1556054478296151,TERMURAH Kurma Ajwa Premium,3,1,61556199839667
941626944236922,Importir Kurma Muda rutob Premium,3,1,61556421741981
3702312546701587,Pusat Kurma,3,1,61556131445681
1832891930515618,TERMURAH Kurma Sukari Premium,3,1,61555821115539
1426572514606007,COD Kurma Tunisia kering,3,1,61556142198689
720844973494544,Pusat Kurma Tunisia madu,3,1,61555849154392
1434150450513774,FREE ONGKIR Kurma Sukari Premium,3,1,61556137495360
1094232578556648,FREE ONGKIR Kurma Ajwa Premium,3,1,61556213669185
1385412192341247,Toko Kurma,3,1,61555696844743
186326537905441,BISA COD,3,1,61553916359635
343481951908234,TERLARIS,3,1,61554111833156
3589097958021014,MASIH SEGAR,3,1,61554689008702
286971161043976,TERBAIK,3,2,61553822254638
359134677086481,Suplier Kurma Tunisia tangkai,3,2,61556213669185
975374847513021,TERBAIK,3,2,61553385245857
3417316951848247,COD Kurma Sukari Premium,3,2,61556142198689
3697391103875054,Importir Kurma Sukari Premium,3,2,61556421741981
803312508285828,TERMURAH Kurma Sukari Premium,3,2,61556421741981
1777949942716099,Toko Kurma Ajwa Premium,3,2,61556421741981
1046983726511349,TIDAK LEBUS,3,2,61554340184399
400631369189553,SANGAT EMPUK,3,2,61555839967572
1037889897487800,SANGAT EMPUK,3,2,61553170816315
685321500328040,TERIMA RUTIN,3,2,61554340184399
1500260960829336,SANGAT EMPUK,3,2,61554905870266
711677807588141,Empuk,3,2,61554090293931
756040189316746,BISA COD,3,2,61554111833156
745489487167821,MASIH SEGAR,3,2,61554111833156
904143214418684,TERIMA RUTIN,3,2,61553725191128
1083692496084978,HALAL,3,2,61554760644954
316312744717708,Empuk,3,2,61554689008702
691793732781192,TIDAK LEBUS,3,2,61553725191128
251045391344885,READY RATUSAN KG,3,2,61553725191128
1381591322782625,TERLARIS,3,2,61553725191128
205719215948252,SIAP SUPLAI,3,2,61554090293931
1053774632408123,SANGAT EMPUK,3,2,61554090293931
814473600694250,Pusat Kurma Sukari Premium,3,2,61556441611394
1035073187585907,BISA COD,3,2,61556009219939
2044702345904515,Suplier Kurma,3,2,61556435871668
904525037824020,TERMURAH Kurma Ajwa Premium,3,2,61555756691442
391787766796256,SIAP SUPLAI,3,2,61555883135592
930174995171632,BISA COD,3,2,61554872541470
771179518224418,TERMURAH Kurma Muda rutob Premium,3,2,61556157135771
281286064997105,COD Kurma Tunisia kering,3,2,61556032048986
1746881952468910,TERBAGUS Kurma Muda rutob Premium,3,2,61556032048986
1144296776742873,COD Kurma Muda rutob Premium,3,2,61555815998885
389369013821540,FREE ONGKIR Kurma,3,2,61556126165677
1447321026167444,TERBAIK Kurma,3,2,61555894235030
396212059721017,SIAP SUPLAI,3,2,61554049404148
914088413596304,FREE ONGKIR Kurma Tunisia Premium,3,2,61554049404148
1148173986474902,Pusat Kurma Sukari Premium,3,2,61556312375429
1084027369487776,COD Kurma,3,2,61555633247861
1331912894173414,Gudang Kurma Sukari Premium,3,2,61555881965593
1124112358757959,FREE ONGKIR Kurma,3,2,61555986787876
1323370978342138,Importir Kurma Tunisia tangkai,3,2,61555695314957
412903054562014,TERMURAH Kurma Tunisia non tangkai,3,2,61555695314957
772201311029840,GROSIR Kurma Tunisia madu,3,2,61555485395017
800936221925878,IGA daging kambing murah ,2,0,61556137495360
703841505293017,TERMURAH Toples Tabung Plastik,2,0,61556147964811
1310655546278599,MURAH BANGET Toples Plastik,2,0,61556287377999
1088416489094431,Suplier Toples Plastik Tabung,2,0,61556062618754
1156783948821656, daging kambing  ,2,0,61555633247861
929387691806473,TERBAGUS Kurma mesir,2,0,61555835896966
367373736218299, daging kambing  ,2,0,61556015166626
930357385340090,Pusat Kurma Mesir,2,0,61556032048986
690492619827749,TERMURAH Kurma Tunisia non tangkai,2,0,61555716703930
724108373169175,Pusat Kurma Mesir,2,0,61556463081573
367635532910565,Toko Kurma mesir,2,0,61556127723128
1568761890567337,Suplier Kurma Tunisia Kering Basah Tangkai,2,0,61556062618754
965705575559963,GROSIR Kurma mesir,2,0,61556127362997
419214887293491,Pusat Kurma Muda Ruthob Ember,2,0,61556421740980
395068173224053,TERBAGUS Kurma Tunisia Kering Basah Tangkai,2,0,61555875764745
394353399961576,Pusat Kurma Muda Ruthob Ember,2,0,61556015166626
307473162010210,Toko Kurma Muda Ruthob Ember,2,0,61556015166626
1878676672562011,Gudang Kurma Muda Ruthob Ember,2,0,61556015166626
421905650360829,TERMURAH Kurma Ajwa Nabi Premium,2,0,61556215741125
424724196684208,Raja Kurma Tunisia Kering Basah Tangkai,2,0,61555649897138
3904899273075524,Pusat Kurma Mesir,2,0,61556253297671
